City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,79.63,broken clouds,-23.1203,-134.9692,Pension Maro'i
2,San Rafael Del Sur,NI,75.2,few clouds,11.8485,-86.4384,Hospedaje El Chino
4,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
18,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
23,Port Hedland,AU,80.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
26,Dingle,PH,77.32,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
33,Chuy,UY,75.31,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
38,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
39,Sao Joao Da Barra,BR,84.2,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
40,Matara,LK,75.34,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
44,Plaridel,PH,84.99,few clouds,14.8872,120.8572,St. Agatha Resort
52,Saint-Philippe,RE,78.8,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Kieta,PG,79.05,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
65,Nauta,PE,75.96,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
66,Taoudenni,ML,83.73,clear sky,22.6783,-3.9836,
72,Arraial Do Cabo,BR,82.4,few clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Faanui,PF,83.57,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Namibe,AO,78.57,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
80,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
85,Caravelas,BR,84.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
86,Puerto Ayora,EC,78.01,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Cidreira,BR,76.87,clear sky,-30.1811,-50.2056,Hotel Castelo
92,Kalmunai,LK,79.0,overcast clouds,7.4167,81.8167,VS Villa
94,Progreso,MX,78.01,broken clouds,21.2833,-89.6667,Playa Linda Hotel
102,Port Alfred,ZA,72.55,overcast clouds,-33.5906,26.891,The Halyards Hotel
103,San Borja,BO,74.21,overcast clouds,-14.8167,-66.85,
107,Ambon,ID,78.8,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
110,Kapit,MY,74.57,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
112,Alyangula,AU,82.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
113,Butaritari,KI,80.94,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
114,Porto Nacional,BR,82.4,few clouds,-10.7081,-48.4172,Vila Real Hotel
120,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
121,Moranbah,AU,75.52,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
123,Atuona,PF,79.95,light rain,-9.8,-139.0333,Villa Enata
125,Hithadhoo,MV,82.78,few clouds,-0.6,73.0833,Scoop Guest House
126,Port Elizabeth,ZA,73.4,clear sky,-33.918,25.5701,39 On Nile Guest House
129,Carnarvon,AU,75.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
130,Mareeba,AU,79.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
134,Ko Samui,TH,82.4,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
140,Iracoubo,GF,79.5,few clouds,5.4802,-53.2011,Le Gite D Iracoubo
153,Port-Gentil,GA,84.2,moderate rain,-0.7193,8.7815,Fengshui Residence
155,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
159,Bodden Town,KY,81.0,few clouds,19.2833,-81.25,Will T Place
171,Faya,SA,84.2,few clouds,18.3851,42.4509,مقبرة ال مجمل
172,Poum,NC,80.64,overcast clouds,-20.2333,164.0167,Gîte kajeon
175,Libertador General San Martin,AR,75.99,few clouds,-23.8064,-64.7876,Posada del Sol
177,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
178,Melo,UY,72.77,overcast clouds,-32.3667,-54.1833,Hotel Cafer
184,Sur,OM,84.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
192,Rio Grande,BR,77.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
195,Gigmoto,PH,78.17,scattered clouds,13.7796,124.39,Cj's Travellers Inn
201,Paragominas,BR,72.46,overcast clouds,-2.9667,-47.4833,.
208,Morondava,MG,81.93,clear sky,-20.2833,44.2833,La Case Bambou
209,Amapa,BR,73.15,overcast clouds,1.0,-52.0,
210,Camara De Lobos,PT,73.0,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
212,Bambous Virieux,MU,82.99,broken clouds,-20.3428,57.7575,Casa Tia Villa
216,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
222,Ciudad Ojeda,VE,80.67,overcast clouds,10.1964,-71.3082,Amira minimarket
226,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
229,Tura,IN,77.04,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
230,Tondano,ID,75.2,scattered clouds,1.3038,124.9112,Villa Bella
231,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
232,Mpwapwa,TZ,81.84,overcast clouds,-6.35,36.4833,Chichi Guest House
236,Los Llanos De Aridane,ES,73.4,clear sky,28.6585,-17.9182,Valle Aridane
239,Mae Sai,TH,84.2,few clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
240,Vao,NC,77.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
244,Sungairaya,ID,75.94,light rain,0.7,108.9,Mess P.Milu
246,Kavieng,PG,82.62,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
250,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
252,Impfondo,CG,73.04,light rain,1.6381,18.0667,Préfecture de la Likouala
256,Puro,PH,79.66,overcast clouds,12.4841,123.3827,
263,Grand Gaube,MU,82.99,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
264,Lehututu,BW,83.28,clear sky,-23.9667,21.8667,
265,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
268,Bengkulu,ID,79.25,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
273,Tirukkoyilur,IN,84.69,clear sky,11.95,79.2,Hotel SKTC Grand Palace
274,Pili,PH,75.06,broken clouds,13.5833,123.3,Magindara Guesthouse
275,Atambua,ID,75.25,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
276,Senador Pompeu,BR,81.19,overcast clouds,-5.5881,-39.3717,Hotel Central
277,Ambilobe,MG,83.46,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
278,Tadine,NC,75.65,few clouds,-21.55,167.8833,
287,Panama City,PA,80.01,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
289,Ilhabela,BR,82.71,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
290,Tabou,CI,83.26,overcast clouds,4.423,-7.3528,hotêl doufoulougou
291,Sal Rei,CV,75.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
297,Swamimalai,IN,83.59,scattered clouds,10.95,79.3333,Paradise Resort
300,Mookane,BW,80.28,overcast clouds,-23.688000000000002,26.6595,
303,Lodja,CD,76.57,overcast clouds,-3.4833,23.4333,
305,Victoria,HK,72.0,clear sky,22.2855,114.1577,Mini Hotel Central
312,Itarare,BR,75.99,overcast clouds,-24.1125,-49.3317,Hospedaria Frei Caneca
318,Soyo,AO,82.65,overcast clouds,-6.1349,12.3689,Hotel Mpampa
320,Kattivakkam,IN,84.2,few clouds,13.2167,80.3167,Raj's villa
323,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
327,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
328,Choma,ZM,73.38,overcast clouds,-16.8065,26.9531,Kamuboola Lodge
329,Qena,EG,77.0,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
332,Port Blair,IN,82.76,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
334,Camacupa,AO,73.44,light rain,-12.0167,17.4833,
338,Georgetown,MY,82.0,scattered clouds,5.4112,100.3354,Cititel Penang
341,Borba,BR,76.57,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
342,Japura,ID,75.02,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
344,Lukulu,ZM,83.88,overcast clouds,-14.3707,23.241999999999997,Ruth Guest House
345,Sao Jose Da Coroa Grande,BR,83.79,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
347,Dessalines,HT,77.0,few clouds,19.2833,-72.5,Hôtel Rayon de Lumière
349,Banda Aceh,ID,80.94,moderate rain,5.5577,95.3222,Sulthan Hotel International
351,Cantapoy,PH,79.48,broken clouds,9.4906,125.4364,Brgy Pili Mountain View
357,Nortelandia,BR,77.56,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
358,Farafangana,MG,78.44,light rain,-22.8167,47.8333,Miarina
362,Cancun,MX,80.6,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
365,Lorengau,PG,80.96,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
367,Itarema,BR,83.21,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
369,Puerto Narino,CO,78.8,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
373,Beloha,MG,83.25,few clouds,-25.1667,45.05,
375,Bumba,CD,83.23,overcast clouds,2.1833,22.4667,Hôtel Cape Town
377,Tamandare,BR,83.97,clear sky,-8.7597,-35.1047,Pousada 100 Passos
378,Boyolangu,ID,76.53,light rain,-8.1181,111.8935,Yos ega cv
379,Basco,PH,74.08,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
384,Karratha,AU,83.25,clear sky,-20.7377,116.8463,ibis Styles Karratha
386,Touros,BR,75.2,mist,-5.1989,-35.4608,INN NEW HORIZON
390,Madimba,TZ,82.4,moderate rain,-10.4,40.3333,
392,Kepala Batas,MY,82.0,scattered clouds,5.5171,100.4265,OYO 44016 Rafik Ali Motel
395,Belmonte,BR,75.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
396,Nosy Varika,MG,79.14,light rain,-20.5833,48.5333,Hotel Volazara
398,Corn Island,NI,79.41,few clouds,12.1694,-83.0418,Big Fish Guest House
403,Tambilil,PH,80.28,few clouds,5.9622,124.6697,Wilfredo Sotto Home
406,Ormara,PK,79.36,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
408,Marsh Harbour,BS,76.06,clear sky,26.5412,-77.0636,Abaco Beach Resort
418,Rodrigues Alves,BR,75.04,overcast clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
419,Sao Raimundo Das Mangabeiras,BR,81.01,overcast clouds,-7.0219,-45.4811,Hotel Tropical
421,Pouebo,NC,76.73,broken clouds,-20.4,164.5667,
425,Bandarban,BD,79.77,clear sky,22.1965,92.2262,Hotel Plaza
428,Cunha,BR,82.4,few clouds,-23.0744,-44.9597,Pousada Calu
430,Mazagao,BR,84.2,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
433,Mainpuri,IN,83.39,clear sky,27.2333,79.0167,HOTEL PALM LUXURY INN
435,Ugoofaaru,MV,83.59,broken clouds,5.6667,73.0,Ungoofaaru Inn
441,Kroya,ID,79.63,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
444,Iturama,BR,84.67,overcast clouds,-19.7281,-50.1956,República DominaCana
447,Nicoya,CR,75.2,clear sky,10.1483,-85.45200000000001,Guayacan Real
448,Biak,ID,78.22,broken clouds,-0.9131,122.8766,Penginapan Kim
449,Sambava,MG,84.83,clear sky,-14.2667,50.1667,Melrose
450,Dong Hoi,VN,73.44,scattered clouds,17.4833,106.6,Nam Long Hotel
451,Isangel,VU,75.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
453,Quatre Cocos,MU,82.99,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
455,Asyut,EG,73.4,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
456,Prieska,ZA,79.21,clear sky,-29.6641,22.7474,Avenue GuestHouse
458,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
459,Ternate,ID,81.37,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
461,Manzanillo,CU,77.34,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
462,Cairns,AU,79.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
465,Tagusao,PH,80.19,overcast clouds,9.1924,117.8141,Toledo
468,Pandan,PH,78.42,few clouds,14.0453,124.1694,Bonifacio Lodge
469,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
473,Lahat,ID,73.02,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
474,Hopelchen,MX,77.0,clear sky,19.7667,-89.85,Hotel Jaguar
475,Camopi,GF,79.38,overcast clouds,3.1655,-52.3158,
478,Lavumisa,SZ,74.8,overcast clouds,-27.31,31.892,ROADSIDE B&B
479,Teahupoo,PF,78.8,light rain,-17.8333,-149.2667,Vanira Lodge
484,Acapulco,MX,73.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
486,Kasempa,ZM,74.55,light rain,-13.4584,25.8338,Lolelunga Forest Reserve
490,Mbaiki,CF,78.58,light rain,3.8678,17.9892,
494,Bongandanga,CD,83.3,light rain,1.5,21.05,
497,Boca Do Acre,BR,78.58,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
499,Paita,PE,73.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
500,Butia,BR,78.66,clear sky,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
503,Prainha,BR,75.65,overcast clouds,-1.8,-53.48,Casa Rocha
504,Reconquista,AR,84.38,clear sky,-29.15,-59.65,Grand Hotel
511,Olmos,PE,74.17,overcast clouds,-5.9847,-79.7453,Hospedaje El Olmo
512,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
521,Jacareacanga,BR,75.2,light rain,-6.2222,-57.7528,Casa do Ian😎
524,Cape Canaveral,US,73.99,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
525,Toamasina,MG,84.2,light rain,-18.1667,49.3833,Hotel H1
526,Thinadhoo,MV,83.71,overcast clouds,0.5333,72.9333,
532,Kabanjahe,ID,80.6,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
535,Sinnamary,GF,79.29,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Kruisfontein,ZA,78.01,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
539,Pontes E Lacerda,BR,78.87,clear sky,-15.2261,-59.3353,Hotel Bressan
541,Muisne,EC,77.0,overcast clouds,0.6,-80.0333,Quinta Samay
542,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
544,Bure,ET,84.15,overcast clouds,10.7,37.0667,Holiday
546,Binga,ZW,80.85,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
548,Gabane,BW,80.6,broken clouds,-24.6667,25.7822,Yarona Hotel
551,Kavaratti,IN,83.75,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
552,Pontian Kecil,MY,78.8,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
553,Clemencia,CO,82.4,clear sky,10.5665,-75.325,Casa de Miguel Ángel Vasquez
556,Nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
563,Bosaso,SO,82.4,clear sky,11.2842,49.1816,Red Sea Hotel
564,Port Keats,AU,81.97,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
579,Talara,PE,73.4,clear sky,-4.5772,-81.2719,Hostal Oro Negro
583,Cururupu,BR,75.0,heavy intensity rain,-1.8283,-44.8683,Pousada Través'cia
589,Palauig,PH,81.57,clear sky,15.435,119.9045,Myhousebythesea
590,Calabazar De Sagua,CU,75.2,moderate rain,22.6447,-79.8961,Hostal La Terraza
596,Dom Pedro,BR,82.47,overcast clouds,-4.4833,-44.45,Pousada Santa Amália
598,Katherine,AU,80.6,overcast clouds,-14.4667,132.2667,Pine Tree Motel
602,Bambanglipuro,ID,79.2,moderate rain,-7.95,110.2833,Puri Brata
615,Kailua,US,75.2,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
618,Hwange,ZW,79.32,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
622,Estelle,US,75.0,mist,29.8458,-90.1067,Ohio
624,Pringsewu,ID,75.33,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
625,Asamankese,GH,84.2,broken clouds,5.8601,-0.6635,Juniel lodge
626,Amahai,ID,81.3,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
627,Kafue,ZM,78.8,broken clouds,-15.7691,28.1814,Purview Lodges Ltd
629,Umm Lajj,SA,73.49,clear sky,25.0213,37.2685,Moon light Furnished Units
635,San Alejo,SV,77.0,clear sky,13.4314,-87.9631,fotografias
641,Manoel Urbano,BR,79.57,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
642,Saint-Leu,RE,78.8,light rain,-21.15,55.2833,La Caz Oceane
643,Srandakan,ID,79.39,moderate rain,-7.9386,110.2506,Puri Brata
647,Long Xuyen,VN,82.4,few clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
648,Kindu,CD,78.24,moderate rain,-2.95,25.95,Résidence Okanda
650,Cap Malheureux,MU,82.99,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
652,Beruwala,LK,77.11,overcast clouds,6.4788,79.9828,The Palms Hotel
653,Antalaha,MG,84.72,clear sky,-14.9003,50.2788,Hotel Vitasoa
654,Nguruka,TZ,83.95,broken clouds,-5.1092,31.0419,
658,Tahta,EG,73.4,clear sky,26.7693,31.5021,El Salam Hotel
660,Lundazi,ZM,74.1,light rain,-12.2929,33.1782,"Stones Hotel, Lundazi"
665,Torres,BR,76.1,broken clouds,-29.3353,-49.7269,Farol Hotel
666,Laela,TZ,74.41,scattered clouds,-8.5667,32.05,
668,Gizo,SB,82.69,few clouds,-8.103,156.8419,Imagination Island
672,Bolobo,CD,72.59,light rain,-2.1667,16.2333,Hotel de Stephen
687,Padang,ID,77.0,overcast clouds,-0.9492,100.3543,Mercure Padang
688,Dodoma,TZ,84.2,few clouds,-6.1722,35.7395,Royal Village Hotel
690,Siparia,TT,81.0,overcast clouds,10.1333,-61.5,Brook Gardens
691,Shakawe,BW,84.22,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
698,Weligama,LK,75.27,overcast clouds,5.9667,80.4167,Weligama Bay Resort
699,Waingapu,ID,80.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
700,Kralendijk,BQ,82.4,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
701,Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
704,Kantunilkin,MX,80.6,scattered clouds,21.0917,-87.45,Posada Paraiso
707,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
